# board=.../test file/BellContacts2.bot.etch.tap
# tool size=0.007000
# pass=1
# preview window width=800 height=600
-0.05969, 0.57495,-0.06095, 0.57369
-0.06095, 0.57369,-0.06260, 0.57300
-0.06260, 0.57300,-0.11340, 0.57300
-0.11340, 0.57300,-0.11505, 0.57369
-0.11505, 0.57369,-0.11631, 0.57495
-0.11631, 0.57495,-0.11700, 0.57660
-0.11700, 0.57660,-0.11700, 0.77540
-0.11700, 0.77540,-0.11631, 0.77705
-0.11631, 0.77705,-0.11505, 0.77831
-0.11505, 0.77831,-0.11340, 0.77900
-0.11340, 0.77900,-0.06260, 0.77900
-0.06260, 0.77900,-0.06095, 0.77831
-0.06095, 0.77831,-0.05969, 0.77705
-0.05969, 0.77705,-0.05900, 0.77540
-0.05900, 0.77540,-0.05900, 0.72460
-0.05900, 0.72460,-0.05900, 0.67640
-0.05900, 0.67640,-0.05900, 0.57660
-0.05900, 0.57660,-0.05969, 0.57495
-0.57495, 0.47331,-0.57369, 0.47205
-0.57369, 0.47205,-0.57300, 0.47040
-0.57300, 0.47040,-0.57300, 0.41960
-0.57300, 0.41960,-0.57369, 0.41795
-0.57369, 0.41795,-0.57495, 0.41669
-0.57495, 0.41669,-0.57660, 0.41600
-0.57660, 0.41600,-0.62740, 0.41600
-0.62740, 0.41600,-0.67560, 0.41600
-0.67560, 0.41600,-0.77540, 0.41600
-0.77540, 0.41600,-0.77705, 0.41669
-0.77705, 0.41669,-0.77831, 0.41795
-0.77831, 0.41795,-0.77900, 0.41960
-0.77900, 0.41960,-0.77900, 0.47040
-0.77900, 0.47040,-0.77831, 0.47205
-0.77831, 0.47205,-0.77705, 0.47331
-0.77705, 0.47331,-0.77540, 0.47400
-0.77540, 0.47400,-0.57660, 0.47400
-0.57660, 0.47400,-0.57495, 0.47331
-0.66169, 0.66495,-0.66295, 0.66369
-0.66295, 0.66369,-0.66460, 0.66300
-0.66460, 0.66300,-0.68340, 0.66300
-0.68340, 0.66300,-0.68505, 0.66369
-0.68505, 0.66369,-0.68631, 0.66495
-0.68631, 0.66495,-0.68700, 0.66660
-0.68700, 0.66660,-0.68700, 0.68540
-0.68700, 0.68540,-0.68631, 0.68705
-0.68631, 0.68705,-0.68505, 0.68831
-0.68505, 0.68831,-0.68340, 0.68900
-0.68340, 0.68900,-0.66460, 0.68900
-0.66460, 0.68900,-0.66295, 0.68831
-0.66295, 0.68831,-0.66169, 0.68705
-0.66169, 0.68705,-0.66100, 0.68540
